C2(X)	C2(Y)	C3(X)	C3(Y)	D1(X)	D1(Y)	D3(X)	D3(Y)	D4(X)	D4(Y)
6938.128	8262.5	6938.128	9822.5	6938.128	10195	6938.128	15157.5	6938.128	3930
6938.129	9172.5	6938.129	11065	6938.129	10770	6938.129	15935	6938.129	4267.5
6938.13	10240	6938.13	12452.5	6938.13	11590	6938.13	16910	6938.13	4642.5
6938.131	10685	6938.131	12970	6938.131	11805	6938.131	17125	6938.131	4807.5
6938.132	11330	6938.132	13897.5	6938.132	12252.5	6938.132	17780	6938.132	5097.5
6938.133	12767.5	6938.133	15497.5	6938.133	12972.5	6938.133	19105	6938.133	5592.5
6938.134	14437.5	6938.134	17462.5	6938.134	13895	6938.134	20687.5	6938.134	6177.5
6938.135	15945	6938.135	19347.5	6938.135	14505	6938.135	22160	6938.135	6682.5
6938.136	17610	6938.136	21285	6938.136	15290	6938.136	23737.5	6938.136	7167.5
6938.137	19272.5	6938.137	23050	6938.137	15785	6938.137	25117.5	6938.137	7547.5
6938.138	20787.5	6938.138	24670	6938.138	16372.5	6938.138	26362.5	6938.138	7832.5
6938.139	22075	6938.139	26020	6938.139	16802.5	6938.139	27362.5	6938.139	8037.5
6938.14	23087.5	6938.14	26907.5	6938.14	17197.5	6938.14	28032.5	6938.14	8152.5
6938.141	23890	6938.141	27570	6938.141	17452.5	6938.141	28432.5	6938.141	8192.5
6938.142	24430	6938.142	27857.5	6938.142	17920	6938.142	28655	6938.142	8192.5
6938.143	24707.5	6938.143	28015	6938.143	17980	6938.143	28657.5	6938.143	8100
6938.144	24822.5	6938.144	28027.5	6938.144	18142.5	6938.144	28540	6938.144	8050
6938.145	24875	6938.145	27880	6938.145	18507.5	6938.145	28305	6938.145	7925
6938.146	24890	6938.146	27625	6938.146	18612.5	6938.146	28027.5	6938.146	7787.5
6938.147	24832.5	6938.147	27397.5	6938.147	18642.5	6938.147	27722.5	6938.147	7677.5
6938.148	24627.5	6938.148	27062.5	6938.148	18717.5	6938.148	27285	6938.148	7537.5
6938.149	24297.5	6938.149	26615	6938.149	18497.5	6938.149	26805	6938.149	7382.5
6938.15	23970	6938.15	26227.5	6938.15	18562.5	6938.15	26332.5	6938.15	7237.5
6938.151	23557.5	6938.151	25675	6938.151	18185	6938.151	25787.5	6938.151	7057.5
6938.152	23057.5	6938.152	25222.5	6938.152	17785	6938.152	25207.5	6938.152	6895
6938.153	22565	6938.153	24645	6938.153	17350	6938.153	24587.5	6938.153	6737.5
6938.154	21950	6938.154	24022.5	6938.154	16802.5	6938.154	23925	6938.154	6587.5
6938.155	21345	6938.155	23320	6938.155	16120	6938.155	23225	6938.155	6445
6938.156	20625	6938.156	22717.5	6938.156	15530	6938.156	22417.5	6938.156	6272.5
6938.157	19960	6938.157	21977.5	6938.157	14910	6938.157	21660	6938.157	6110
6938.158	19240	6938.158	21245	6938.158	14210	6938.158	20867.5	6938.158	5962.5
6938.159	18545	6938.159	20515	6938.159	13440	6938.159	20117.5	6938.159	5807.5
6938.16	17817.5	6938.16	19770	6938.16	12812.5	6938.16	19330	6938.16	5662.5
6938.161	17130	6938.161	19027.5	6938.161	12170	6938.161	18582.5	6938.161	5540
6938.162	16475	6938.162	18277.5	6938.162	11607.5	6938.162	17887.5	6938.162	5350
6938.163	15877.5	6938.163	17610	6938.163	11177.5	6938.163	17202.5	6938.163	5215
6938.164	15287.5	6938.164	16895	6938.164	10852.5	6938.164	16537.5	6938.164	5080
6938.165	14797.5	6938.165	16175	6938.165	10492.5	6938.165	16000	6938.165	4942.5
6938.166	14280	6938.166	15592.5	6938.166	10387.5	6938.166	15402.5	6938.166	4815
6938.167	13905	6938.167	14952.5	6938.167	10195	6938.167	14877.5	6938.167	4700
6938.168	13402.5	6938.168	14382.5	6938.168	10072.5	6938.168	14357.5	6938.168	4547.5
6938.169	12967.5	6938.169	13782.5	6938.169	9827.5	6938.169	13765	6938.169	4432.5
6938.17	12482.5	6938.17	13220	6938.17	9647.5	6938.17	13350	6938.17	4310
6938.171	12077.5	6938.171	12687.5	6938.171	9325	6938.171	12857.5	6938.171	4217.5
6938.172	11587.5	6938.172	12135	6938.172	8895	6938.172	12280	6938.172	4075
6938.173	11077.5	6938.173	11620	6938.173	8642.5	6938.173	11820	6938.173	3970
6938.174	10610	6938.174	11075	6938.174	8292.5	6938.174	11237.5	6938.174	3832.5
6938.175	10002.5	6938.175	10475	6938.175	7720	6938.175	10640	6938.175	3707.5
6938.176	9507.5	6938.176	9977.5	6938.176	7375	6938.176	10067.5	6938.176	3612.5
6938.177	9005	6938.177	9452.5	6938.177	6862.5	6938.177	9465	6938.177	3500
6938.178	8480	6938.178	8985	6938.178	6357.5	6938.178	8945	6938.178	3372.5
6938.179	7917.5	6938.179	8382.5	6938.179	5865	6938.179	8392.5	6938.179	3280
6938.18	7405	6938.18	7892.5	6938.18	5335	6938.18	7862.5	6938.18	3160
6938.181	6957.5	6938.181	7530	6938.181	5065	6938.181	7355	6938.181	3077.5
6938.182	6555	6938.182	7087.5	6938.182	4772.5	6938.182	6882.5	6938.182	2982.5
6938.183	6160	6938.183	6647.5	6938.183	4552.5	6938.183	6477.5	6938.183	2835
6938.184	5752.5	6938.184	6232.5	6938.184	4317.5	6938.184	6150	6938.184	2767.5
6938.185	5515	6938.185	5855	6938.185	4467.5	6938.185	5812.5	6938.185	2657.5
6938.186	5240	6938.186	5520	6938.186	4517.5	6938.186	5492.5	6938.186	2545
6938.187	5037.5	6938.187	5197.5	6938.187	4535	6938.187	5200	6938.187	2447.5
6938.188	4845	6938.188	4825	6938.188	4542.5	6938.188	4935	6938.188	2360
6938.189	4562.5	6938.189	4435	6938.189	4482.5	6938.189	4620	6938.189	2247.5
6938.19	4405	6938.19	4132.5	6938.19	4380	6938.19	4260	6938.19	2177.5
6938.191	4142.5	6938.191	3777.5	6938.191	4237.5	6938.191	3982.5	6938.191	2070
6938.192	3787.5	6938.192	3442.5	6938.192	4075	6938.192	3575	6938.192	1952.5
6938.193	3557.5	6938.193	3127.5	6938.193	3987.5	6938.193	3200	6938.193	1847.5
6938.194	3312.5	6938.194	2677.5	6938.194	3760	6938.194	2825	6938.194	1787.5
6938.195	2842.5	6938.195	2220	6938.195	3282.5	6938.195	2405	6938.195	1652.5
6938.196	2467.5	6938.196	1805	6938.196	2910	6938.196	1975	6938.196	1530
6938.197	2090	6938.197	1485	6938.197	2517.5	6938.197	1430	6938.197	1430
6938.198	1630	6938.198	1087.5	6938.198	2065	6938.198	1020	6938.198	1302.5
6938.199	1222.5	6938.199	677.5	6938.199	1760	6938.199	662.5	6938.199	1185
