A1(X)	A1(Y)	A2(X)	A2(Y)	A3(X)	A3(Y)	B2(X)	B2(Y)	B3(X)	B3(Y)
6938.128	7527.5	6938.128	7057.5	6938.128	4415	6938.128	4267.5	6938.128	3342.5
6938.129	8182.5	6938.129	8235	6938.129	5495	6938.129	4912.5	6938.129	4322.5
6938.13	9037.5	6938.13	9500	6938.13	6535	6938.13	5622.5	6938.13	5245
6938.131	9297.5	6938.131	9702.5	6938.131	6512.5	6938.131	5555	6938.131	5142.5
6938.132	9985	6938.132	10322.5	6938.132	6782.5	6938.132	5970	6938.132	5350
6938.133	10982.5	6938.133	11397.5	6938.133	7690	6938.133	6862.5	6938.133	6195
6938.134	12367.5	6938.134	12800	6938.134	8790	6938.134	8035	6938.134	7207.5
6938.135	13775	6938.135	13990	6938.135	9812.5	6938.135	9217.5	6938.135	8172.5
6938.136	14970	6938.136	15252.5	6938.136	10890	6938.136	10577.5	6938.136	9217.5
6938.137	16200	6938.137	16517.5	6938.137	12075	6938.137	12072.5	6938.137	10350
6938.138	17392.5	6938.138	17695	6938.138	13245	6938.138	13495	6938.138	11525
6938.139	18390	6938.139	18895	6938.139	14387.5	6938.139	14867.5	6938.139	12592.5
6938.14	19322.5	6938.14	19792.5	6938.14	15495	6938.14	16167.5	6938.14	13677.5
6938.141	19997.5	6938.141	20550	6938.141	16415	6938.141	17210	6938.141	14610
6938.142	20445	6938.142	21160	6938.142	17182.5	6938.142	18142.5	6938.142	15450
6938.143	20852.5	6938.143	21515	6938.143	17812.5	6938.143	18825	6938.143	16117.5
6938.144	21147.5	6938.144	21805	6938.144	18287.5	6938.144	19400	6938.144	16590
6938.145	21270	6938.145	22037.5	6938.145	18607.5	6938.145	19832.5	6938.145	16982.5
6938.146	21385	6938.146	22115	6938.146	18777.5	6938.146	20107.5	6938.146	17200
6938.147	21402.5	6938.147	22165	6938.147	18845	6938.147	20315	6938.147	17315
6938.148	21280	6938.148	22160	6938.148	18770	6938.148	20260	6938.148	17317.5
6938.149	21005	6938.149	21945	6938.149	18697.5	6938.149	20155	6938.149	17232.5
6938.15	20730	6938.15	21775	6938.15	18475	6938.15	19962.5	6938.15	17067.5
6938.151	20462.5	6938.151	21412.5	6938.151	18187.5	6938.151	19635	6938.151	16805
6938.152	20035	6938.152	21105	6938.152	17885	6938.152	19355	6938.152	16555
6938.153	19647.5	6938.153	20657.5	6938.153	17507.5	6938.153	18955	6938.153	16210
6938.154	19175	6938.154	20140	6938.154	17112.5	6938.154	18517.5	6938.154	15822.5
6938.155	18720	6938.155	19620	6938.155	16655	6938.155	18010	6938.155	15407.5
6938.156	18155	6938.156	19017.5	6938.156	16230	6938.156	17495	6938.156	15037.5
6938.157	17580	6938.157	18422.5	6938.157	15715	6938.157	16880	6938.157	14532.5
6938.158	16957.5	6938.158	17665	6938.158	15277.5	6938.158	16285	6938.158	14112.5
6938.159	16317.5	6938.159	17120	6938.159	14762.5	6938.159	15740	6938.159	13622.5
6938.16	15785	6938.16	16490	6938.16	14315	6938.16	15207.5	6938.16	13180
6938.161	15247.5	6938.161	15850	6938.161	13827.5	6938.161	14577.5	6938.161	12727.5
6938.162	14622.5	6938.162	15250	6938.162	13337.5	6938.162	14037.5	6938.162	12270
6938.163	14117.5	6938.163	14715	6938.163	12895	6938.163	13555	6938.163	11847.5
6938.164	13635	6938.164	14187.5	6938.164	12427.5	6938.164	13075	6938.164	11422.5
6938.165	13222.5	6938.165	13772.5	6938.165	12017.5	6938.165	12630	6938.165	11035
6938.166	12712.5	6938.166	13320	6938.166	11552.5	6938.166	12145	6938.166	10595
6938.167	12350	6938.167	12925	6938.167	11187.5	6938.167	11770	6938.167	10255
6938.168	11872.5	6938.168	12512.5	6938.168	10787.5	6938.168	11290	6938.168	9892.5
6938.169	11572.5	6938.169	12097.5	6938.169	10370	6938.169	10880	6938.169	9510
6938.17	11175	6938.17	11745	6938.17	10012.5	6938.17	10445	6938.17	9165
6938.171	10837.5	6938.171	11385	6938.171	9645	6938.171	10115	6938.171	8815
6938.172	10395	6938.172	10982.5	6938.172	9300	6938.172	9727.5	6938.172	8507.5
6938.173	9912.5	6938.173	10575	6938.173	8987.5	6938.173	9332.5	6938.173	8245
6938.174	9545	6938.174	10182.5	6938.174	8597.5	6938.174	8887.5	6938.174	7880
6938.175	8995	6938.175	9577.5	6938.175	8227.5	6938.175	8457.5	6938.175	7502.5
6938.176	8597.5	6938.176	9132.5	6938.176	7882.5	6938.176	8045	6938.176	7205
6938.177	8137.5	6938.177	8687.5	6938.177	7562.5	6938.177	7705	6938.177	6897.5
6938.178	7755	6938.178	8242.5	6938.178	7270	6938.178	7362.5	6938.178	6622.5
6938.179	7415	6938.179	7745	6938.179	6940	6938.179	6935	6938.179	6295
6938.18	6977.5	6938.18	7285	6938.18	6655	6938.18	6455	6938.18	6032.5
6938.181	6615	6938.181	6815	6938.181	6372.5	6938.181	6032.5	6938.181	5800
6938.182	6285	6938.182	6462.5	6938.182	6110	6938.182	5697.5	6938.182	5547.5
6938.183	5960	6938.183	6057.5	6938.183	5790	6938.183	5265	6938.183	5305
6938.184	5777.5	6938.184	5760	6938.184	5522.5	6938.184	4865	6938.184	5015
6938.185	5387.5	6938.185	5537.5	6938.185	5317.5	6938.185	4522.5	6938.185	4845
6938.186	5192.5	6938.186	5232.5	6938.186	5027.5	6938.186	4105	6938.186	4602.5
6938.187	4927.5	6938.187	5032.5	6938.187	4815	6938.187	3765	6938.187	4400
6938.188	4672.5	6938.188	4745	6938.188	4542.5	6938.188	3382.5	6938.188	4142.5
6938.189	4350	6938.189	4552.5	6938.189	4312.5	6938.189	2902.5	6938.189	3937.5
6938.19	4145	6938.19	4325	6938.19	4067.5	6938.19	2525	6938.19	3765
6938.191	3882.5	6938.191	4027.5	6938.191	3820	6938.191	2025	6938.191	3560
6938.192	3595	6938.192	3670	6938.192	3582.5	6938.192	1602.5	6938.192	3332.5
6938.193	3307.5	6938.193	3495	6938.193	3312.5	6938.193	1107.5	6938.193	3127.5
6938.194	2920	6938.194	3085	6938.194	3035	6938.194	697.5	6938.194	2865
6938.195	2562.5	6938.195	2712.5	6938.195	2827.5	6938.195	170	6938.195	2657.5
6938.196	2297.5	6938.196	2380	6938.196	2557.5	6938.196	-275	6938.196	2385
6938.197	1855	6938.197	1940	6938.197	2300	6938.197	-760	6938.197	2160
6938.198	1632.5	6938.198	1490	6938.198	2015	6938.198	-1212.5	6938.198	1840
6938.199	1245	6938.199	1147.5	6938.199	1775	6938.199	-1687.5	6938.199	1675
6938.2	810	6938.2	742.5	6938.2	1512.5	6938.2	-2120	6938.2	1397.5
6938.201	610	6938.201	380	6938.201	1225	6938.201	-2500	6938.201	1170
6938.202	360	6938.202	60	6938.202	985	6938.202	-2895	6938.202	915
6938.203	-10	6938.203	-245	6938.203	762.5	6938.203	-3240	6938.203	730
6938.204	-267.5	6938.204	-512.5	6938.204	515	6938.204	-3590	6938.204	477.5
6938.205	-460	6938.205	-690	6938.205	305	6938.205	-3900	6938.205	280
6938.206	-717.5	6938.206	-955	6938.206	70	6938.206	-4165	6938.206	87.5
6938.207	-920	6938.207	-1107.5	6938.207	-152.5	6938.207	-4497.5	6938.207	-75
6938.208	-1130	6938.208	-1357.5	6938.208	-407.5	6938.208	-4712.5	6938.208	-342.5
6938.209	-1395	6938.209	-1505	6938.209	-595	6938.209	-4915	6938.209	-525
6938.21	-1627.5	6938.21	-1742.5	6938.21	-837.5	6938.21	-5192.5	6938.21	-737.5
6938.211	-1812.5	6938.211	-1915	6938.211	-1065	6938.211	-5425	6938.211	-975
6938.212	-2025	6938.212	-2132.5	6938.212	-1255	6938.212	-5692.5	6938.212	-1135
6938.213	-2240	6938.213	-2312.5	6938.213	-1512.5	6938.213	-5925	6938.213	-1317.5
6938.214	-2582.5	6938.214	-2627.5	6938.214	-1732.5	6938.214	-6192.5	6938.214	-1587.5
6938.215	-2907.5	6938.215	-2992.5	6938.215	-1952.5	6938.215	-6477.5	6938.215	-1785
6938.216	-3217.5	6938.216	-3245	6938.216	-2192.5	6938.216	-6807.5	6938.216	-1987.5
6938.217	-3385	6938.217	-3585	6938.217	-2392.5	6938.217	-7007.5	6938.217	-2195
6938.218	-3650	6938.218	-3902.5	6938.218	-2600	6938.218	-7252.5	6938.218	-2412.5
