F4(X)	F4(Y)	F5(X)	F5(Y)	G2(X)	G2(Y)	G3(X)	G3(Y)
6938.148	15737.5	6938.148	18842.5	6938.148	11075	6938.148	20340
6938.149	15640	6938.149	18215	6938.149	11387.5	6938.149	20242.5
6938.15	15492.5	6938.15	17547.5	6938.15	11570	6938.15	20057.5
6938.151	15210	6938.151	16727.5	6938.151	11642.5	6938.151	19800
6938.152	14932.5	6938.152	16120	6938.152	11597.5	6938.152	19452.5
6938.153	14615	6938.153	15392.5	6938.153	11420	6938.153	19055
6938.154	14215	6938.154	14602.5	6938.154	11177.5	6938.154	18640
6938.155	13787.5	6938.155	13832.5	6938.155	10895	6938.155	18132.5
6938.156	13397.5	6938.156	13097.5	6938.156	10550	6938.156	17630
6938.157	12947.5	6938.157	12410	6938.157	10052.5	6938.157	17010
6938.158	12537.5	6938.158	11687.5	6938.158	9580	6938.158	16430
6938.159	12075	6938.159	11015	6938.159	9222.5	6938.159	15925
6938.16	11610	6938.16	10360	6938.16	8647.5	6938.16	15355
6938.161	11165	6938.161	9730	6938.161	8275	6938.161	14787.5
6938.162	10757.5	6938.162	9097.5	6938.162	7877.5	6938.162	14242.5
6938.163	10335	6938.163	8455	6938.163	7467.5	6938.163	13757.5
6938.164	9910	6938.164	7852.5	6938.164	7090	6938.164	13295
6938.165	9547.5	6938.165	7282.5	6938.165	6780	6938.165	12830
6938.166	9117.5	6938.166	6602.5	6938.166	6547.5	6938.166	12345
6938.167	8792.5	6938.167	6072.5	6938.167	6262.5	6938.167	11972.5
6938.168	8447.5	6938.168	5482.5	6938.168	6015	6938.168	11502.5
6938.169	8062.5	6938.169	4947.5	6938.169	5785	6938.169	11125
6938.17	7772.5	6938.17	4482.5	6938.17	5575	6938.17	10715
6938.171	7420	6938.171	4012.5	6938.171	5377.5	6938.171	10365
6938.172	7122.5	6938.172	3517.5	6938.172	5127.5	6938.172	9985
6938.173	6847.5	6938.173	2937.5	6938.173	4957.5	6938.173	9620
6938.174	6510	6938.174	2527.5	6938.174	4692.5	6938.174	9137.5
6938.175	6180	6938.175	1972.5	6938.175	4280	6938.175	8727.5
6938.176	5872.5	6938.176	1517.5	6938.176	4005	6938.176	8325
6938.177	5615	6938.177	972.5	6938.177	3737.5	6938.177	7980
6938.178	5340	6938.178	500	6938.178	3420	6938.178	7632.5
6938.179	5055	6938.179	-22.5	6938.179	3170	6938.179	7237.5
6938.18	4835	6938.18	-397.5	6938.18	2820	6938.18	6775
6938.181	4550	6938.181	-845	6938.181	2555	6938.181	6370
6938.182	4355	6938.182	-1317.5	6938.182	2342.5	6938.182	5985
6938.183	4085	6938.183	-1770	6938.183	2227.5	6938.183	5595
6938.184	3850	6938.184	-2225	6938.184	1975	6938.184	5195
6938.185	3670	6938.185	-2577.5	6938.185	1875	6938.185	4810
6938.186	3447.5	6938.186	-3005	6938.186	1860	6938.186	4445
6938.187	3277.5	6938.187	-3490	6938.187	1747.5	6938.187	4132.5
6938.188	3077.5	6938.188	-3907.5	6938.188	1705	6938.188	3697.5
6938.189	2867.5	6938.189	-4275	6938.189	1615	6938.189	3215
6938.19	2695	6938.19	-4635	6938.19	1577.5	6938.19	2857.5
6938.191	2485	6938.191	-5117.5	6938.191	1490	6938.191	2355
6938.192	2290	6938.192	-5482.5	6938.192	1377.5	6938.192	1905
6938.193	2065	6938.193	-5822.5	6938.193	1262.5	6938.193	1450
6938.194	1842.5	6938.194	-6337.5	6938.194	1162.5	6938.194	1057.5
6938.195	1685	6938.195	-6772.5	6938.195	965	6938.195	530
6938.196	1435	6938.196	-7267.5	6938.196	772.5	6938.196	77.5
6938.197	1195	6938.197	-7660	6938.197	552.5	6938.197	-390
6938.198	990	6938.198	-8142.5	6938.198	247.5	6938.198	-870
6938.199	762.5	6938.199	-8557.5	6938.199	55	6938.199	-1322.5
6938.2	565	6938.2	-8950	6938.2	-192.5	6938.2	-1755
6938.201	352.5	6938.201	-9342.5	6938.201	-447.5	6938.201	-2122.5
6938.202	135	6938.202	-9635	6938.202	-555	6938.202	-2490
6938.203	-75	6938.203	-10070	6938.203	-735	6938.203	-2857.5
6938.204	-255	6938.204	-10457.5	6938.204	-862.5	6938.204	-3212.5
6938.205	-445	6938.205	-10747.5	6938.205	-965	6938.205	-3522.5
6938.206	-655	6938.206	-11185	6938.206	-965	6938.206	-3792.5
6938.207	-802.5	6938.207	-11537.5	6938.207	-997.5	6938.207	-4075
6938.208	-1062.5	6938.208	-11915	6938.208	-1017.5	6938.208	-4352.5
6938.209	-1197.5	6938.209	-12395	6938.209	-1095	6938.209	-4532.5
6938.21	-1397.5	6938.21	-12682.5	6938.21	-1125	6938.21	-4802.5
6938.211	-1587.5	6938.211	-13007.5	6938.211	-1230	6938.211	-5060
6938.212	-1747.5	6938.212	-13375	6938.212	-1337.5	6938.212	-5290
6938.213	-1932.5	6938.213	-13705	6938.213	-1447.5	6938.213	-5497.5
6938.214	-2162.5	6938.214	-14077.5	6938.214	-1525	6938.214	-5805
6938.215	-2360	6938.215	-14457.5	6938.215	-1747.5	6938.215	-6090
6938.216	-2562.5	6938.216	-14662.5	6938.216	-1935	6938.216	-6407.5
6938.217	-2722.5	6938.217	-15052.5	6938.217	-2110	6938.217	-6630
6938.218	-2925	6938.218	-15410	6938.218	-2347.5	6938.218	-6850
6938.219	-3122.5	6938.219	-15645	6938.219	-2557.5	6938.219	-7102.5
6938.22	-3267.5	6938.22	-15965	6938.22	-2792.5	6938.22	-7315
6938.221	-3435	6938.221	-16297.5	6938.221	-2962.5	6938.221	-7562.5
6938.222	-3560	6938.222	-16490	6938.222	-3090	6938.222	-7742.5
6938.223	-3725	6938.223	-16710	6938.223	-3255	6938.223	-7925
6938.224	-3857.5	6938.224	-16972.5	6938.224	-3327.5	6938.224	-8097.5
6938.225	-3975	6938.225	-17117.5	6938.225	-3282.5	6938.225	-8212.5
6938.226	-4085	6938.226	-17370	6938.226	-3387.5	6938.226	-8325
6938.227	-4162.5	6938.227	-17622.5	6938.227	-3332.5	6938.227	-8380
6938.228	-4280	6938.228	-17850	6938.228	-3320	6938.228	-8455
6938.229	-4405	6938.229	-18122.5	6938.229	-3317.5	6938.229	-8577.5
6938.23	-4457.5	6938.23	-18217.5	6938.23	-3325	6938.23	-8655
6938.231	-4570	6938.231	-18355	6938.231	-3322.5	6938.231	-8722.5
6938.232	-4637.5	6938.232	-18485	6938.232	-3290	6938.232	-8807.5
6938.233	-4725	6938.233	-18572.5	6938.233	-3337.5	6938.233	-8827.5
6938.234	-4802.5	6938.234	-18787.5	6938.234	-3395	6938.234	-8897.5
6938.235	-4920	6938.235	-18870	6938.235	-3602.5	6938.235	-9020
6938.236	-4962.5	6938.236	-19055	6938.236	-3702.5	6938.236	-9215
6938.237	-5070	6938.237	-19310	6938.237	-3847.5	6938.237	-9292.5
6938.238	-5147.5	6938.238	-19420	6938.238	-3962.5	6938.238	-9395
6938.239	-5240	6938.239	-19617.5	6938.239	-4120	6938.239	-9457.5
6938.24	-5280	6938.24	-19595	6938.24	-4275	6938.24	-9572.5
6938.241	-5337.5	6938.241	-19687.5	6938.241	-4375	6938.241	-9630
6938.242	-5375	6938.242	-19760	6938.242	-4422.5	6938.242	-9665
6938.243	-5422.5	6938.243	-19912.5	6938.243	-4492.5	6938.243	-9690
6938.244	-5440	6938.244	-20042.5	6938.244	-4525	6938.244	-9685
6938.245	-5462.5	6938.245	-20155	6938.245	-4522.5	6938.245	-9667.5
6938.246	-5445	6938.246	-20195	6938.246	-4452.5	6938.246	-9627.5
6938.247	-5455	6938.247	-20197.5	6938.247	-4397.5	6938.247	-9592.5
6938.248	-5455	6938.248	-20237.5	6938.248	-4335	6938.248	-9557.5
6938.249	-5500	6938.249	-20412.5	6938.249	-4257.5	6938.249	-9460
6938.25	-5505	6938.25	-20377.5	6938.25	-4175	6938.25	-9402.5
6938.251	-5477.5	6938.251	-20402.5	6938.251	-4180	6938.251	-9360
6938.252	-5505	6938.252	-20405	6938.252	-4162.5	6938.252	-9335
6938.253	-5535	6938.253	-20497.5	6938.253	-4152.5	6938.253	-9315
6938.254	-5520	6938.254	-20535	6938.254	-4172.5	6938.254	-9302.5
6938.255	-5517.5	6938.255	-20580	6938.255	-4272.5	6938.255	-9287.5
6938.256	-5527.5	6938.256	-20690	6938.256	-4320	6938.256	-9322.5
