H2(X)	H2(Y)	H3(X)	H3(Y)	H4(X)	H4(Y)	J3(X)	J3(Y)
6938.149	7785	6938.149	10642.5	6938.149	9435	6938.149	6120
6938.15	8122.5	6938.15	11017.5	6938.15	9517.5	6938.15	6597.5
6938.151	8410	6938.151	11277.5	6938.151	9530	6938.151	6922.5
6938.152	8477.5	6938.152	11427.5	6938.152	9397.5	6938.152	7235
6938.153	8577.5	6938.153	11490	6938.153	9292.5	6938.153	7357.5
6938.154	8507.5	6938.154	11520	6938.154	9127.5	6938.154	7375
6938.155	8252.5	6938.155	11385	6938.155	8870	6938.155	7367.5
6938.156	7950	6938.156	11217.5	6938.156	8587.5	6938.156	7305
6938.157	7600	6938.157	10985	6938.157	8355	6938.157	7067.5
6938.158	7260	6938.158	10632.5	6938.158	7980	6938.158	6822.5
6938.159	6890	6938.159	10302.5	6938.159	7692.5	6938.159	6582.5
6938.16	6472.5	6938.16	9995	6938.16	7320	6938.16	6272.5
6938.161	6132.5	6938.161	9670	6938.161	7047.5	6938.161	6012.5
6938.162	5842.5	6938.162	9307.5	6938.162	6720	6938.162	5600
6938.163	5507.5	6938.163	8952.5	6938.163	6375	6938.163	5302.5
6938.164	5077.5	6938.164	8685	6938.164	6082.5	6938.164	5102.5
6938.165	4922.5	6938.165	8442.5	6938.165	5787.5	6938.165	4870
6938.166	4697.5	6938.166	8185	6938.166	5512.5	6938.166	4595
6938.167	4505	6938.167	7947.5	6938.167	5310	6938.167	4355
6938.168	4282.5	6938.168	7782.5	6938.168	5007.5	6938.168	4115
6938.169	4085	6938.169	7530	6938.169	4710	6938.169	3915
6938.17	3902.5	6938.17	7355	6938.17	4480	6938.17	3727.5
6938.171	3730	6938.171	7220	6938.171	4295	6938.171	3522.5
6938.172	3387.5	6938.172	6957.5	6938.172	3990	6938.172	3282.5
6938.173	3205	6938.173	6707.5	6938.173	3765	6938.173	3072.5
6938.174	2930	6938.174	6425	6938.174	3505	6938.174	2832.5
6938.175	2555	6938.175	6037.5	6938.175	3265	6938.175	2460
6938.176	2250	6938.176	5640	6938.176	3007.5	6938.176	2245
6938.177	1945	6938.177	5172.5	6938.177	2830	6938.177	2005
6938.178	1717.5	6938.178	4752.5	6938.178	2575	6938.178	1792.5
6938.179	1400	6938.179	4337.5	6938.179	2372.5	6938.179	1557.5
6938.18	1060	6938.18	3877.5	6938.18	2185	6938.18	1267.5
6938.181	837.5	6938.181	3377.5	6938.181	2005	6938.181	1112.5
6938.182	592.5	6938.182	2915	6938.182	1880	6938.182	992.5
6938.183	497.5	6938.183	2572.5	6938.183	1707.5	6938.183	857.5
6938.184	405	6938.184	2247.5	6938.184	1605	6938.184	657.5
6938.185	265	6938.185	1927.5	6938.185	1495	6938.185	605
6938.186	290	6938.186	1632.5	6938.186	1342.5	6938.186	550
6938.187	277.5	6938.187	1350	6938.187	1305	6938.187	510
6938.188	247.5	6938.188	1125	6938.188	1205	6938.188	502.5
6938.189	190	6938.189	837.5	6938.189	1197.5	6938.189	352.5
6938.19	220	6938.19	520	6938.19	1097.5	6938.19	347.5
6938.191	142.5	6938.191	172.5	6938.191	975	6938.191	255
6938.192	-10	6938.192	-280	6938.192	875	6938.192	147.5
6938.193	-72.5	6938.193	-675	6938.193	797.5	6938.193	100
6938.194	-155	6938.194	-1245	6938.194	660	6938.194	57.5
6938.195	-345	6938.195	-1850	6938.195	580	6938.195	-140
6938.196	-520	6938.196	-2530	6938.196	477.5	6938.196	-295
6938.197	-650	6938.197	-3247.5	6938.197	367.5	6938.197	-392.5
6938.198	-962.5	6938.198	-3957.5	6938.198	230	6938.198	-625
6938.199	-1185	6938.199	-4597.5	6938.199	55	6938.199	-682.5
6938.2	-1440	6938.2	-5182.5	6938.2	-30	6938.2	-750
6938.201	-1532.5	6938.201	-5790	6938.201	-197.5	6938.201	-952.5
6938.202	-1665	6938.202	-6295	6938.202	-235	6938.202	-1047.5
6938.203	-1735	6938.203	-6802.5	6938.203	-347.5	6938.203	-1165
6938.204	-1745	6938.204	-7267.5	6938.204	-437.5	6938.204	-1182.5
6938.205	-1840	6938.205	-7667.5	6938.205	-505	6938.205	-1250
6938.206	-1800	6938.206	-8060	6938.206	-557.5	6938.206	-1332.5
6938.207	-1810	6938.207	-8292.5	6938.207	-587.5	6938.207	-1285
6938.208	-1837.5	6938.208	-8612.5	6938.208	-655	6938.208	-1327.5
6938.209	-1740	6938.209	-8882.5	6938.209	-712.5	6938.209	-1365
6938.21	-1702.5	6938.21	-9135	6938.21	-795	6938.21	-1370
6938.211	-1737.5	6938.211	-9345	6938.211	-820	6938.211	-1367.5
6938.212	-1825	6938.212	-9710	6938.212	-920	6938.212	-1397.5
6938.213	-1867.5	6938.213	-9947.5	6938.213	-1015	6938.213	-1410
6938.214	-2057.5	6938.214	-10252.5	6938.214	-1060	6938.214	-1507.5
6938.215	-2172.5	6938.215	-10635	6938.215	-1247.5	6938.215	-1687.5
6938.216	-2435	6938.216	-10900	6938.216	-1285	6938.216	-1777.5
6938.217	-2520	6938.217	-11185	6938.217	-1352.5	6938.217	-1805
6938.218	-2715	6938.218	-11455	6938.218	-1522.5	6938.218	-1887.5
6938.219	-2842.5	6938.219	-11770	6938.219	-1652.5	6938.219	-2020
6938.22	-3092.5	6938.22	-12032.5	6938.22	-1727.5	6938.22	-2090
6938.221	-3257.5	6938.221	-12255	6938.221	-1767.5	6938.221	-2172.5
6938.222	-3302.5	6938.222	-12507.5	6938.222	-1895	6938.222	-2190
6938.223	-3430	6938.223	-12667.5	6938.223	-1930	6938.223	-2217.5
6938.224	-3425	6938.224	-12705	6938.224	-2010	6938.224	-2237.5
6938.225	-3407.5	6938.225	-12847.5	6938.225	-2025	6938.225	-2160
6938.226	-3362.5	6938.226	-12862.5	6938.226	-2085	6938.226	-2067.5
6938.227	-3300	6938.227	-12882.5	6938.227	-2015	6938.227	-1967.5
6938.228	-3205	6938.228	-12902.5	6938.228	-2040	6938.228	-1962.5
6938.229	-3190	6938.229	-12952.5	6938.229	-2010	6938.229	-1892.5
6938.23	-3077.5	6938.23	-12920	6938.23	-2020	6938.23	-1855
6938.231	-3037.5	6938.231	-12932.5	6938.231	-2087.5	6938.231	-1830
6938.232	-3072.5	6938.232	-13067.5	6938.232	-2105	6938.232	-1790
6938.233	-3142.5	6938.233	-12980	6938.233	-2082.5	6938.233	-1775
6938.234	-3165	6938.234	-13007.5	6938.234	-2177.5	6938.234	-1772.5
6938.235	-3347.5	6938.235	-13145	6938.235	-2185	6938.235	-1840
6938.236	-3480	6938.236	-13217.5	6938.236	-2252.5	6938.236	-1912.5
6938.237	-3552.5	6938.237	-13315	6938.237	-2332.5	6938.237	-1932.5
6938.238	-3760	6938.238	-13445	6938.238	-2352.5	6938.238	-2012.5
6938.239	-3890	6938.239	-13597.5	6938.239	-2445	6938.239	-2045
6938.24	-3935	6938.24	-13645	6938.24	-2450	6938.24	-2072.5
6938.241	-3977.5	6938.241	-13732.5	6938.241	-2465	6938.241	-2162.5
6938.242	-3950	6938.242	-13742.5	6938.242	-2507.5	6938.242	-2232.5
6938.243	-4075	6938.243	-13742.5	6938.243	-2530	6938.243	-2200
6938.244	-4047.5	6938.244	-13727.5	6938.244	-2502.5	6938.244	-2185
6938.245	-3982.5	6938.245	-13530	6938.245	-2492.5	6938.245	-2140
6938.246	-3892.5	6938.246	-13500	6938.246	-2467.5	6938.246	-2062.5
6938.247	-3740	6938.247	-13317.5	6938.247	-2420	6938.247	-2005
6938.248	-3650	6938.248	-13202.5	6938.248	-2400	6938.248	-2012.5
6938.249	-3605	6938.249	-13120	6938.249	-2380	6938.249	-1977.5
6938.25	-3467.5	6938.25	-12957.5	6938.25	-2337.5	6938.25	-1885
6938.251	-3472.5	6938.251	-12817.5	6938.251	-2327.5	6938.251	-1895
6938.252	-3387.5	6938.252	-12682.5	6938.252	-2325	6938.252	-1910
6938.253	-3335	6938.253	-12592.5	6938.253	-2357.5	6938.253	-1880
6938.254	-3392.5	6938.254	-12582.5	6938.254	-2357.5	6938.254	-1947.5
6938.255	-3515	6938.255	-12600	6938.255	-2377.5	6938.255	-2002.5
6938.256	-3562.5	6938.256	-12605	6938.256	-2397.5	6938.256	-2032.5
6938.257	-3670	6938.257	-12647.5	6938.257	-2402.5	6938.257	-2110
