E2(X)	E2(Y)	E3(X)	E3(Y)	E4(X)	E4(Y)	F1(X)	F1(Y)	F3(X)	F3(Y)
6938.129	9800	6938.129	12497.5	6938.129	6830	6938.129	6507.5	6938.129	7617.5
6938.13	10340	6938.13	12957.5	6938.13	7465	6938.13	6720	6938.13	7580
6938.131	10282.5	6938.131	12802.5	6938.131	7497.5	6938.131	6335	6938.131	7102.5
6938.132	10740	6938.132	13132.5	6938.132	8017.5	6938.132	6315	6938.132	7122.5
6938.133	11465	6938.133	14087.5	6938.133	8820	6938.133	6785	6938.133	7760
6938.134	12395	6938.134	15425	6938.134	9692.5	6938.134	7285	6938.134	8702.5
6938.135	13200	6938.135	16842.5	6938.135	10375	6938.135	7690	6938.135	9747.5
6938.136	14035	6938.136	18427.5	6938.136	10857.5	6938.136	8165	6938.136	10985
6938.137	14767.5	6938.137	19927.5	6938.137	11217.5	6938.137	8500	6938.137	12430
6938.138	15475	6938.138	21582.5	6938.138	11412.5	6938.138	9030	6938.138	14012.5
6938.139	16105	6938.139	22985	6938.139	11765	6938.139	9350	6938.139	15527.5
6938.14	16635	6938.14	24115	6938.14	11900	6938.14	9857.5	6938.14	16985
6938.141	17097.5	6938.141	24907.5	6938.141	12102.5	6938.141	10337.5	6938.141	18390
6938.142	17505	6938.142	25565	6938.142	12252.5	6938.142	10812.5	6938.142	19592.5
6938.143	17737.5	6938.143	25950	6938.143	12482.5	6938.143	11127.5	6938.143	20597.5
6938.144	17885	6938.144	26090	6938.144	12547.5	6938.144	11570	6938.144	21317.5
6938.145	17992.5	6938.145	26107.5	6938.145	12830	6938.145	11862.5	6938.145	21897.5
6938.146	17977.5	6938.146	26005	6938.146	12910	6938.146	12165	6938.146	22287.5
6938.147	17970	6938.147	25902.5	6938.147	13057.5	6938.147	12400	6938.147	22515
6938.148	17795	6938.148	25572.5	6938.148	13145	6938.148	12490	6938.148	22642.5
6938.149	17532.5	6938.149	25195	6938.149	13162.5	6938.149	12417.5	6938.149	22537.5
6938.15	17330	6938.15	24935	6938.15	13197.5	6938.15	12277.5	6938.15	22425
6938.151	17005	6938.151	24402.5	6938.151	12965	6938.151	11952.5	6938.151	22187.5
6938.152	16630	6938.152	23917.5	6938.152	12875	6938.152	11695	6938.152	21832.5
6938.153	16135	6938.153	23390	6938.153	12725	6938.153	11362.5	6938.153	21465
6938.154	15700	6938.154	22867.5	6938.154	12457.5	6938.154	11055	6938.154	21007.5
6938.155	15140	6938.155	22247.5	6938.155	12155	6938.155	10692.5	6938.155	20405
6938.156	14547.5	6938.156	21622.5	6938.156	11825	6938.156	10192.5	6938.156	19840
6938.157	13977.5	6938.157	20972.5	6938.157	11512.5	6938.157	9702.5	6938.157	19250
6938.158	13305	6938.158	20282.5	6938.158	11095	6938.158	9235	6938.158	18637.5
6938.159	12687.5	6938.159	19680	6938.159	10775	6938.159	8627.5	6938.159	17985
6938.16	12150	6938.16	18910	6938.16	10407.5	6938.16	8320	6938.16	17350
6938.161	11627.5	6938.161	18335	6938.161	10125	6938.161	7852.5	6938.161	16730
6938.162	11147.5	6938.162	17602.5	6938.162	9720	6938.162	7372.5	6938.162	16227.5
6938.163	10652.5	6938.163	16840	6938.163	9352.5	6938.163	7090	6938.163	15640
6938.164	10235	6938.164	16077.5	6938.164	9020	6938.164	6717.5	6938.164	15192.5
6938.165	9890	6938.165	15402.5	6938.165	8745	6938.165	6442.5	6938.165	14775
6938.166	9507.5	6938.166	14620	6938.166	8485	6938.166	5997.5	6938.166	14347.5
6938.167	9215	6938.167	14040	6938.167	8090	6938.167	5760	6938.167	13990
6938.168	8960	6938.168	13250	6938.168	7862.5	6938.168	5502.5	6938.168	13652.5
6938.169	8647.5	6938.169	12575	6938.169	7592.5	6938.169	5237.5	6938.169	13342.5
6938.17	8357.5	6938.17	11942.5	6938.17	7337.5	6938.17	4965	6938.17	13010
6938.171	8160	6938.171	11242.5	6938.171	7070	6938.171	4802.5	6938.171	12762.5
6938.172	7827.5	6938.172	10592.5	6938.172	6665	6938.172	4555	6938.172	12360
6938.173	7480	6938.173	9945	6938.173	6382.5	6938.173	4202.5	6938.173	11852.5
6938.174	7195	6938.174	9420	6938.174	6120	6938.174	4105	6938.174	11265
6938.175	6737.5	6938.175	8745	6938.175	5820	6938.175	3637.5	6938.175	10347.5
6938.176	6412.5	6938.176	8152.5	6938.176	5427.5	6938.176	3372.5	6938.176	9515
6938.177	6075	6938.177	7550	6938.177	5150	6938.177	3240	6938.177	8510
6938.178	5672.5	6938.178	7062.5	6938.178	4890	6938.178	2892.5	6938.178	7465
6938.179	5247.5	6938.179	6487.5	6938.179	4617.5	6938.179	2572.5	6938.179	6487.5
6938.18	4920	6938.18	6030	6938.18	4372.5	6938.18	2452.5	6938.18	5602.5
6938.181	4637.5	6938.181	5445	6938.181	4082.5	6938.181	2232.5	6938.181	4742.5
6938.182	4315	6938.182	5045	6938.182	3852.5	6938.182	2160	6938.182	3967.5
6938.183	3972.5	6938.183	4645	6938.183	3652.5	6938.183	2105	6938.183	3185
6938.184	3830	6938.184	4227.5	6938.184	3425	6938.184	1905	6938.184	2487.5
6938.185	3700	6938.185	3957.5	6938.185	3207.5	6938.185	1810	6938.185	1960
6938.186	3507.5	6938.186	3562.5	6938.186	3042.5	6938.186	1810	6938.186	1425
6938.187	3395	6938.187	3212.5	6938.187	2862.5	6938.187	1657.5	6938.187	1025
6938.188	3330	6938.188	2975	6938.188	2750	6938.188	1550	6938.188	530
6938.189	3105	6938.189	2707.5	6938.189	2562.5	6938.189	1590	6938.189	157.5
6938.19	3100	6938.19	2367.5	6938.19	2397.5	6938.19	1492.5	6938.19	-207.5
6938.191	2872.5	6938.191	2005	6938.191	2192.5	6938.191	1412.5	6938.191	-552.5
6938.192	2652.5	6938.192	1652.5	6938.192	1902.5	6938.192	1310	6938.192	-922.5
6938.193	2470	6938.193	1352.5	6938.193	1867.5	6938.193	1287.5	6938.193	-1282.5
6938.194	2305	6938.194	1035	6938.194	1590	6938.194	1105	6938.194	-1635
6938.195	1937.5	6938.195	670	6938.195	1312.5	6938.195	952.5	6938.195	-2060
6938.196	1687.5	6938.196	280	6938.196	1112.5	6938.196	830	6938.196	-2520
6938.197	1365	6938.197	-137.5	6938.197	922.5	6938.197	617.5	6938.197	-2962.5
6938.198	917.5	6938.198	-470	6938.198	732.5	6938.198	435	6938.198	-3492.5
6938.199	662.5	6938.199	-862.5	6938.199	465	6938.199	182.5	6938.199	-3875
6938.2	317.5	6938.2	-1215	6938.2	175	6938.2	-2.5	6938.2	-4270
6938.201	-45	6938.201	-1560	6938.201	37.5	6938.201	-92.5	6938.201	-4617.5
6938.202	-272.5	6938.202	-1935	6938.202	-152.5	6938.202	-205	6938.202	-4950
6938.203	-477.5	6938.203	-2280	6938.203	-280	6938.203	-262.5	6938.203	-5287.5
6938.204	-645	6938.204	-2592.5	6938.204	-510	6938.204	-505	6938.204	-5595
6938.205	-827.5	6938.205	-2870	6938.205	-645	6938.205	-412.5	6938.205	-5765
6938.206	-990	6938.206	-3137.5	6938.206	-820	6938.206	-602.5	6938.206	-5925
6938.207	-1057.5	6938.207	-3402.5	6938.207	-900	6938.207	-557.5	6938.207	-6117.5
6938.208	-1180	6938.208	-3662.5	6938.208	-1082.5	6938.208	-720	6938.208	-6345
6938.209	-1325	6938.209	-3872.5	6938.209	-1165	6938.209	-795	6938.209	-6500
